Continent,Country,Province-chi,Town-chi,Location Chinese,Province-eng,Town-eng,Location English,Current Location,Latitude,Longitude,Name-chi,Type-chi,Business Name Chinese,Name-eng,Type-eng,Business Name English,Sector,Sub-Category,Address
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,黃雲山堂,(會館),黃雲山堂(會館),WONG WAN SAN KUNG SOO,SOCIETY,"WONG WAN SAN KUNG SOO, SOCIETY",Other Services,Overseas Chinese Associations,39 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.758056,-122.421208,黃永,藥房,黃永藥房,Wong Wing,Chinese Herb Company,"Wong Wing, Chinese Herb Company",Retail Trade,Health and Personal Care Stores,919 Valencia St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,黃應記,整鏢,黃應記整鏢,Wong Ying Kee,Watchmaker,"Wong Ying Kee, Watchmaker",Other Services,Repair and Maintenance,956 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,黃友生,醫士,黃友生醫士,Wong Yow Sang,Physician,"Wong Yow Sang, Physician",Health Care & Social Assistance,Physician,58 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.791288,-122.429757,和綸,新衣,和綸新衣,Woo Lun,Clothing,"Woo Lun, Clothing",Retail Trade,Other Clothing Stores,853 Clay St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.797316,-122.403652,會花樓,餐館,會花樓餐館,Woy Far Low,Restaurant,"Woy Far Low, Restaurant",Accommodation & Foodservice,Foodservice,"2nd Floor, 518 Pacific St"
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.797455,-122.408597,劉月東,鑲牙,劉月東鑲牙,Y. D. Low,Dentist,"Y. D. Low, Dentist",Health Care & Social Assistance,Dentist,1105 Stockton St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.78783,-122.433639,蔡源公司,蘇杭,蔡源公司蘇杭,Y. J. Choy & Co.,Ladies' Wear,"Y. J. Choy & Co., Ladies' Wear",Retail Trade,Clothing and Clothing Accessories Stores,2312 Fillmore St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,廷年堂,藥材,廷年堂藥材,Yan Nin Tong,Drugs,"Yan Nin Tong, Drugs",Retail Trade,Health and Personal Care Stores,807 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,仁隆,油漆,仁隆油漆,Yan Lung,Grocery,"Yan Lung, Grocery",Retail Trade,General Merchandise Stores,30 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,人和會館,(會館),人和會館(會館),Yan Wo,ASSOCIATION,"Yan Wo, ASSOCIATION",Other Services,Overseas Chinese Associations,945 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,余風采堂,(會館),余風采堂(會館),Yee Fung Toy,ASSOCIATION,"Yee Fung Toy, ASSOCIATION",Other Services,Overseas Chinese Associations,131 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,裕昌隆,雜貨,裕昌隆雜貨,Yee Chong Lung,General Merchandise,"Yee Chong Lung, General Merchandise",Retail Trade,General Merchandise Stores,824 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,余家,公所,余家公所,Yee Gar Kung Soo Society,ASSOCIATION,"Yee Gar Kung Soo Society, ASSOCIATION",Other Services,Overseas Chinese Associations,"3rd Floor, 858 Washington St"
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,一品香,餐館,一品香餐館,Yat Ban Hong,Restaurant,"Yat Ban Hong, Restaurant",Accommodation & Foodservice,Foodservice,858 Washington St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,怡興,洗衣,怡興洗衣,Yee Hing,Laundry,"Yee Hing, Laundry",Other Services,Laundry Services,905 Washington St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794099,-122.404076,怡興和記,雜貨,怡興和記雜貨,Yee Hing Wo Hee,General Merchandise,"Yee Hing Wo Hee, General Merchandise",Retail Trade,General Merchandise Stores,735 Commercial St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,如珍,酒晏,如珍酒晏,Yee Jun,Restaurant,"Yee Jun, Restaurant",Accommodation & Foodservice,Foodservice,Washington St.
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,怡隆,雜貨,怡隆雜貨,Yee Lung,General Merchandise,"Yee Lung, General Merchandise",Retail Trade,General Merchandise Stores,854 Washington St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.791288,-122.429757,裕隆,蘇杭,裕隆蘇杭,Yee Lung,Dry Goods,"Yee Lung, Dry Goods",Retail Trade,Clothing and Clothing Accessories Stores,901 Clay St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.786912,-122.411808,裕安,女服,裕安女服,Yee On & Co.,Ladies' Wear,"Yee On & Co., Ladies' Wear",Retail Trade,Clothing and Clothing Accessories Stores,2107 Geary St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,裕安,雜貨,裕安雜貨,YEE ON,General Merchandise,"YEE ON, General Merchandise",Retail Trade,General Merchandise Stores,16 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,義生,雞鴨,義生雞鴨,Yee Sang,Butcher,"Yee Sang, Butcher",Retail Trade,Meat Markets,56 Washington Alley
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.795867,-122.406194,禺山,信局,禺山信局,Yee Shan,Society,"Yee Shan, Society",Other Services,Overseas Chinese Associations,60 Washington Place
